"","date_time","temp","block","number","colour"
"418","2019-06-24 03:02:00",13,"A","rock","rock"
"419","2019-06-24 04:02:00",13.5,"A","rock","rock"
"420","2019-06-24 05:02:00",12.5,"A","rock","rock"
"421","2019-06-24 06:02:00",12.5,"A","rock","rock"
"422","2019-06-24 07:02:00",14,"A","rock","rock"
"423","2019-06-24 08:02:00",14,"A","rock","rock"
"424","2019-06-24 09:02:00",17.5,"A","rock","rock"
"425","2019-06-24 10:02:00",15.5,"A","rock","rock"
"426","2019-06-24 11:02:00",15.5,"A","rock","rock"
"427","2019-06-24 12:02:00",17,"A","rock","rock"
"428","2019-06-24 13:02:00",26.5,"A","rock","rock"
"429","2019-06-24 14:02:00",26,"A","rock","rock"
"430","2019-06-24 15:02:00",23.5,"A","rock","rock"
"431","2019-06-24 16:02:00",23.5,"A","rock","rock"
"432","2019-06-24 17:02:00",21,"A","rock","rock"
"433","2019-06-24 18:02:00",17.5,"A","rock","rock"
"434","2019-06-24 19:02:00",15.5,"A","rock","rock"
"435","2019-06-24 20:02:00",15.5,"A","rock","rock"
"436","2019-06-24 21:02:00",15,"A","rock","rock"
"437","2019-06-24 22:02:00",14,"A","rock","rock"
"438","2019-06-24 23:02:00",14,"A","rock","rock"
"439","2019-06-25 00:02:00",13,"A","rock","rock"
"440","2019-06-25 01:02:00",13,"A","rock","rock"
"441","2019-06-25 02:02:00",13.5,"A","rock","rock"
"442","2019-06-25 03:02:00",13.5,"A","rock","rock"
"443","2019-06-25 04:02:00",13.5,"A","rock","rock"
"444","2019-06-25 05:02:00",12,"A","rock","rock"
"445","2019-06-25 06:02:00",13.5,"A","rock","rock"
"446","2019-06-25 07:02:00",18.5,"A","rock","rock"
"447","2019-06-25 08:02:00",22,"A","rock","rock"
"448","2019-06-25 09:02:00",25.5,"A","rock","rock"
"449","2019-06-25 10:02:00",22.5,"A","rock","rock"
"450","2019-06-25 11:02:00",26,"A","rock","rock"
"451","2019-06-25 12:02:00",23,"A","rock","rock"
"452","2019-06-25 13:02:00",24,"A","rock","rock"
"453","2019-06-25 14:02:00",27,"A","rock","rock"
"454","2019-06-25 15:02:00",26.5,"A","rock","rock"
"455","2019-06-25 16:02:00",24,"A","rock","rock"
"456","2019-06-25 17:02:00",21.5,"A","rock","rock"
"457","2019-06-25 18:02:00",18,"A","rock","rock"
"458","2019-06-25 19:02:00",16,"A","rock","rock"
"459","2019-06-25 20:02:00",15.5,"A","rock","rock"
"460","2019-06-25 21:02:00",15.5,"A","rock","rock"
"461","2019-06-25 22:02:00",15,"A","rock","rock"
"462","2019-06-25 23:02:00",15,"A","rock","rock"
"463","2019-06-26 00:02:00",14.5,"A","rock","rock"
"464","2019-06-26 01:02:00",13.5,"A","rock","rock"
"465","2019-06-26 02:02:00",13.5,"A","rock","rock"
"466","2019-06-26 03:02:00",13.5,"A","rock","rock"
"467","2019-06-26 04:02:00",13.5,"A","rock","rock"
"468","2019-06-26 05:02:00",13.5,"A","rock","rock"
"469","2019-06-26 06:02:00",12.5,"A","rock","rock"
"470","2019-06-26 07:02:00",15,"A","rock","rock"
"471","2019-06-26 08:02:00",16.5,"A","rock","rock"
"472","2019-06-26 09:02:00",26,"A","rock","rock"
"473","2019-06-26 10:02:00",25.5,"A","rock","rock"
"474","2019-06-26 11:02:00",23.5,"A","rock","rock"
